cancer,edin,p50,is_tumor
UCS,64.29,0.0833,True
UVM,25.0,0.0588,True
ACC,5.06,0.0769,True
BLCA,13.73,0.0476,True
BLCA,5.26,0.0401,False
BRCA,13.600000000000001,0.0476,True
BRCA,9.73,0.0500,False
CESC,13.73,0.0494,True
CHOL,19.439999999999998,0.0572,True
COAD,5.36,0.0455,True
COAD,7.32,0.0625,False
DLBC,16.669999999999998,0.0370,True
ESCA,30.25,0.0414,True
ESCA,9.09,0.0417,False
GBM,16.669999999999998,0.0417,True
HNSC,14.000000000000002,0.0526,True
HNSC,6.819999999999999,0.0526,False
KICH,4.17,0.0556,False
KIRC,9.35,0.0500,True
KIRC,13.889999999999999,0.0606,False
KIRP,10.03,0.0667,True
KIRP,9.379999999999999,0.0584,False
LAML,3.9699999999999998,0.0625,True
LGG,6.619999999999999,0.0455,True
LIHC,14.97,0.0714,True
LIHC,16.0,0.0955,False
LUAD,14.99,0.0572,True
LUAD,5.08,0.0625,False
LUSC,11.82,0.0435,True
LUSC,6.12,0.0359,False
MESO,20.93,0.0625,True
OV,26.650000000000002,0.0417,True
PAAD,14.04,0.0588,True
PCPG,13.66,0.0625,True
PRAD,5.6000000000000005,0.0417,True
PRAD,7.6899999999999995,0.0455,False
READ,5.43,0.0625,True
SARC,11.41,0.0417,True
SKCM,10.620000000000001,0.0417,True
STAD,22.93,0.0466,True
STAD,9.379999999999999,0.0395,False
TGCT,17.31,0.0364,True
THCA,9.229999999999999,0.0513,True
THCA,8.62,0.0541,False
THYM,5.88,0.0270,True
UCEC,18.25,0.0588,True
UCS,12.5,0.0347,True
UVM,5.0,0.0412,True
ACC,37.97,0.0920,True
BLCA,59.309999999999995,0.1000,True
BLCA,57.89,0.1310,False
BRCA,67.82000000000001,0.1081,True
BRCA,61.95,0.0909,False
CESC,62.419999999999995,0.0833,True
CESC,100.0,0.2059,False
CHOL,63.89,0.0976,True
CHOL,22.220000000000002,0.2000,False
COAD,43.21,0.0833,True
COAD,31.71,0.0769,False
DLBC,68.75,0.0870,True
ESCA,83.33,0.1333,True
ESCA,54.55,0.0909,False
GBM,70.24000000000001,0.1000,True
GBM,80.0,0.1333,False
HNSC,56.2,0.0920,True
HNSC,29.549999999999997,0.0714,False
KICH,20.0,0.0990,True
KICH,58.330000000000005,0.1000,False
KIRC,64.11,0.1053,True
KIRC,59.72,0.0870,False
KIRP,42.91,0.0968,True
KIRP,46.88,0.0667,False
LAML,29.14,0.0784,True
LGG,63.519999999999996,0.0833,True
LIHC,52.669999999999995,0.1429,True
LIHC,22.0,0.1000,False
LUAD,62.62,0.1081,True
LUAD,55.93,0.0909,False
LUSC,56.11000000000001,0.0930,True
LUSC,61.22,0.1000,False
MESO,80.23,0.1429,True
OV,84.17,0.1364,True
PAAD,57.87,0.1111,True
PAAD,100.0,0.1223,False
PCPG,73.22,0.1342,True
PCPG,100.0,0.0667,False
PRAD,61.4,0.0882,True
PRAD,69.23,0.1053,False
READ,40.22,0.0833,True
READ,40.0,0.0909,False
SARC,73.38,0.1111,True
SARC,100.0,0.2040,False
SKCM,63.91,0.0909,True
SKCM,100.0,0.0769,False
STAD,75.47,0.1372,True
STAD,50.0,0.1213,False
TGCT,72.44,0.1000,True
THCA,53.44,0.0833,True
THCA,48.28,0.0646,False
THYM,65.55,0.0769,True
UCEC,54.2,0.1111,True
UCEC,71.43,0.0952,False
UCS,69.64,0.1084,True
UVM,50.0,0.0895,True
ACC,1.27,0.0312,True
BLCA,0.98,0.0238,True
BRCA,2.45,0.0351,True
BRCA,1.77,0.0420,False
CESC,1.96,0.0263,True
COAD,1.0699999999999998,0.0455,True
DLBC,2.08,0.0189,True
ESCA,5.56,0.0232,True
GBM,4.17,0.0385,True
HNSC,2.1999999999999997,0.0370,True
HNSC,4.55,0.0718,False
KICH,3.08,0.0714,True
KICH,8.33,0.0635,False
KIRC,3.18,0.0476,True
KIRC,4.17,0.0526,False
KIRP,0.69,0.0474,True
LAML,1.9900000000000002,0.0588,True
LGG,2.46,0.0345,True
LIHC,5.88,0.0571,True
LIHC,2.0,0.1000,False
LUAD,2.85,0.0417,True
LUSC,2.81,0.0361,True
MESO,1.16,0.0357,True
OV,2.37,0.0217,True
PAAD,4.49,0.0488,True
PCPG,5.46,0.0400,True
PRAD,1.0,0.0345,True
PRAD,1.92,0.0455,False
READ,3.26,0.0729,True
SARC,1.9,0.0263,True
SKCM,1.91,0.0297,True
STAD,2.93,0.0222,True
STAD,3.1199999999999997,0.0555,False
TGCT,1.92,0.0169,True
THCA,1.5699999999999998,0.0333,True
THCA,5.17,0.0526,False
THYM,1.68,0.0170,True
UCEC,2.37,0.0378,True
UCEC,2.86,0.0283,False
ACC,56.96,0.1515,True
BLCA,82.35,0.1333,True
BLCA,89.47,0.1000,False
BRCA,84.95,0.1515,True
BRCA,69.03,0.0852,False
CESC,85.61999999999999,0.1351,True
CESC,100.0,0.1562,False
CHOL,86.11,0.1500,True
CHOL,33.33,0.1818,False
COAD,68.57,0.1277,True
COAD,53.66,0.1088,False
DLBC,95.83,0.1644,True
ESCA,96.91,0.1899,True
ESCA,63.63999999999999,0.1017,False
GBM,88.69,0.1798,True
GBM,100.0,0.1818,False
HNSC,84.39999999999999,0.1389,True
HNSC,75.0,0.0976,False
KICH,56.92,0.1429,True
KICH,70.83,0.1603,False
KIRC,74.77000000000001,0.1293,True
KIRC,75.0,0.1202,False
KIRP,72.32,0.1293,True
KIRP,90.62,0.1133,False
LAML,46.36,0.1053,True
LGG,86.77,0.1364,True
LIHC,61.23,0.1538,True
LIHC,42.0,0.1875,False
LUAD,76.28,0.1429,True
LUAD,59.31999999999999,0.1250,False
LUSC,84.57000000000001,0.1458,True
LUSC,83.67,0.1200,False
MESO,83.72,0.1667,True
OV,93.14,0.1905,True
PAAD,72.47,0.1429,True
PAAD,100.0,0.1715,False
PCPG,74.86,0.1559,True
PCPG,66.67,0.0526,False
PRAD,84.6,0.1429,True
PRAD,78.85,0.1277,False
READ,68.47999999999999,0.1297,True
READ,60.0,0.1334,False
SARC,87.83,0.1622,True
SARC,50.0,0.0845,False
SKCM,84.28999999999999,0.1372,True
SKCM,100.0,0.2424,False
STAD,81.33,0.1739,True
STAD,59.38,0.1918,False
TGCT,90.38000000000001,0.1212,True
THCA,75.83,0.1290,True
THCA,63.79,0.1127,False
THYM,89.92,0.1342,True
THYM,100.0,0.1124,False
UCEC,63.5,0.1727,True
UCEC,88.57000000000001,0.1935,False
UCS,92.86,0.1481,True
UVM,71.25,0.1250,True
ACC,1.27,0.0333,True
BLCA,1.96,0.0357,True
BRCA,1.9900000000000002,0.0351,True
BRCA,0.88,0.0455,False
CESC,0.65,0.0282,True
CHOL,8.33,0.0718,True
COAD,1.43,0.0426,True
DLBC,2.08,0.0256,True
ESCA,0.62,0.0196,True
GBM,6.550000000000001,0.0455,True
GBM,20.0,0.0498,False
HNSC,2.6,0.0393,True
HNSC,2.27,0.0323,False
KIRC,2.06,0.0417,True
KIRP,1.38,0.0387,True
KIRP,6.25,0.0351,False
LAML,2.65,0.0769,True
LGG,1.51,0.0417,True
LIHC,3.4799999999999995,0.0541,True
LIHC,4.0,0.0857,False
LUAD,0.76,0.0370,True
LUAD,8.469999999999999,0.0670,False
LUSC,1.4000000000000001,0.0357,True
LUSC,4.08,0.0500,False
MESO,3.49,0.0500,True
OV,1.8499999999999999,0.0194,True
PAAD,3.37,0.0476,True
PCPG,7.1,0.0526,True
PRAD,1.2,0.0385,True
PRAD,3.85,0.0945,False
READ,2.17,0.0678,True
READ,10.0,0.1111,False
SARC,2.2800000000000002,0.0312,True
SARC,50.0,0.0615,False
SKCM,1.27,0.0323,True
STAD,5.33,0.0426,True
STAD,9.379999999999999,0.0522,False
TGCT,1.28,0.0227,True
THCA,2.75,0.0472,True
THCA,3.45,0.0620,False
UCEC,2.37,0.0500,True
UCEC,2.86,0.0370,False
UCS,1.79,0.0185,True
ACC,3.8,0.0377,True
BLCA,9.56,0.0345,True
BRCA,5.71,0.0318,True
BRCA,3.54,0.0283,False
CESC,7.19,0.0278,True
CHOL,19.439999999999998,0.0526,True
CHOL,22.220000000000002,0.1088,False
COAD,6.43,0.0409,True
COAD,2.44,0.0476,False
DLBC,2.08,0.0278,True
ESCA,11.73,0.0299,True
GBM,4.760000000000001,0.0339,True
HNSC,8.0,0.0381,True
HNSC,6.819999999999999,0.0476,False
KICH,1.54,0.0351,True
KICH,12.5,0.0513,False
KIRC,5.609999999999999,0.0345,True
KIRC,8.33,0.0417,False
KIRP,6.23,0.0417,True
KIRP,6.25,0.0384,False
LAML,3.9699999999999998,0.0557,True
LGG,4.35,0.0345,True
LIHC,12.030000000000001,0.0588,True
LIHC,12.0,0.0714,False
LUAD,5.5,0.0333,True
LUAD,5.08,0.0435,False
LUSC,9.42,0.0323,True
MESO,4.65,0.0334,True
OV,13.719999999999999,0.0333,True
PAAD,7.870000000000001,0.0426,True
PCPG,9.84,0.0417,True
PRAD,5.0,0.0333,True
PRAD,3.85,0.0323,False
READ,2.17,0.0357,True
SARC,9.51,0.0286,True
SARC,50.0,0.1000,False
SKCM,4.46,0.0270,True
SKCM,100.0,0.0938,False
STAD,8.799999999999999,0.0345,True
STAD,9.379999999999999,0.0449,False
TGCT,2.56,0.0204,True
THCA,4.91,0.0312,True
THCA,1.72,0.0294,False
THYM,3.36,0.0196,True
UCEC,9.120000000000001,0.0476,True
UCEC,2.86,0.0278,False
UCS,3.5700000000000003,0.0194,True
ACC,12.659999999999998,0.0534,True
BLCA,14.219999999999999,0.0417,True
BRCA,9.25,0.0333,True
BRCA,6.1899999999999995,0.0367,False
CESC,8.5,0.0312,True
CHOL,19.439999999999998,0.0665,True
CHOL,33.33,0.0909,False
COAD,6.43,0.0385,True
COAD,9.76,0.0500,False
DLBC,4.17,0.0308,True
ESCA,17.28,0.0336,True
ESCA,9.09,0.0429,False
GBM,8.93,0.0333,True
HNSC,11.200000000000001,0.0385,True
HNSC,2.27,0.0281,False
KICH,3.08,0.0357,True
KICH,16.669999999999998,0.0378,False
KIRC,8.41,0.0323,True
KIRC,4.17,0.0400,False
KIRP,7.2700000000000005,0.0435,True
KIRP,3.1199999999999997,0.0407,False
LAML,2.65,0.0714,True
LGG,5.48,0.0323,True
LIHC,18.45,0.0556,True
LIHC,20.0,0.0691,False
LUAD,11.57,0.0400,True
LUAD,10.17,0.0476,False
LUSC,11.82,0.0381,True
LUSC,8.16,0.0435,False
MESO,22.09,0.0548,True
OV,14.249999999999998,0.0364,True
PAAD,12.36,0.0476,True
PCPG,14.75,0.0500,True
PCPG,33.33,0.0667,False
PRAD,6.0,0.0345,True
PRAD,9.62,0.0323,False
READ,8.7,0.0455,True
SARC,12.93,0.0364,True
SKCM,8.07,0.0323,True
SKCM,100.0,0.0625,False
STAD,17.87,0.0476,True
STAD,9.379999999999999,0.0475,False
TGCT,13.459999999999999,0.0256,True
THCA,6.4799999999999995,0.0364,True
THCA,5.17,0.0278,False
THYM,3.36,0.0193,True
UCEC,11.5,0.0455,True
UCEC,8.57,0.0294,False
UCS,5.36,0.0219,True
UVM,8.75,0.0476,True
ACC,8.86,0.0370,True
BLCA,9.56,0.0417,True
BLCA,5.26,0.0323,False
BRCA,5.9799999999999995,0.0333,True
BRCA,1.77,0.0306,False
CESC,4.58,0.0302,True
CHOL,22.220000000000002,0.0741,True
CHOL,22.220000000000002,0.0695,False
COAD,7.86,0.0466,True
COAD,2.44,0.0609,False
DLBC,2.08,0.0244,True
ESCA,8.02,0.0286,True
GBM,7.739999999999999,0.0400,True
HNSC,8.0,0.0370,True
HNSC,4.55,0.0385,False
KICH,1.54,0.0476,True
KICH,4.17,0.0435,False
KIRC,5.609999999999999,0.0323,True
KIRC,8.33,0.0385,False
KIRP,3.81,0.0357,True
KIRP,6.25,0.0345,False
LAML,1.9900000000000002,0.0667,True
LGG,6.239999999999999,0.0323,True
LIHC,11.76,0.0526,True
LIHC,20.0,0.0784,False
LUAD,10.25,0.0381,True
LUAD,3.39,0.0381,False
LUSC,11.219999999999999,0.0370,True
LUSC,6.12,0.0308,False
MESO,10.47,0.0445,True
OV,7.12,0.0256,True
PAAD,8.99,0.0455,True
PCPG,11.48,0.0513,True
PCPG,33.33,0.0441,False
PRAD,3.8,0.0339,True
PRAD,3.85,0.0297,False
READ,9.78,0.0513,True
SARC,7.6,0.0323,True
SKCM,6.58,0.0328,True
STAD,6.93,0.0404,True
TGCT,8.97,0.0227,True
THCA,6.88,0.0357,True
THCA,5.17,0.0417,False
THYM,0.84,0.0217,True
UCEC,7.85,0.0466,True
UCEC,2.86,0.0370,False
UCS,3.5700000000000003,0.0204,True
UVM,6.25,0.0435,True
ACC,8.86,0.0588,True
BLCA,6.859999999999999,0.0370,True
BRCA,3.54,0.0303,True
CESC,2.94,0.0270,True
CHOL,5.56,0.0357,True
CHOL,11.110000000000001,0.0833,False
COAD,5.0,0.0435,True
COAD,2.44,0.0638,False
DLBC,6.25,0.0265,True
ESCA,3.09,0.0229,True
GBM,2.3800000000000003,0.0286,True
HNSC,4.0,0.0333,True
KICH,12.5,0.0521,False
KIRC,2.62,0.0333,True
KIRP,2.77,0.0370,True
KIRP,3.1199999999999997,0.0345,False
LAML,3.3099999999999996,0.0714,True
LGG,3.2099999999999995,0.0308,True
LIHC,9.89,0.0541,True
LIHC,10.0,0.0909,False
LUAD,5.88,0.0393,True
LUAD,1.69,0.0476,False
LUSC,6.01,0.0323,True
MESO,3.49,0.0357,True
OV,5.01,0.0270,True
PAAD,8.43,0.0466,True
PCPG,4.92,0.0422,True
PRAD,3.0,0.0333,True
PRAD,1.92,0.0435,False
READ,6.52,0.0513,True
SARC,4.5600000000000005,0.0286,True
SKCM,5.52,0.0303,True
STAD,3.2,0.0294,True
TGCT,2.56,0.0222,True
THCA,3.1399999999999997,0.0333,True
UCEC,4.01,0.0333,True
UCEC,8.57,0.0625,False
UCS,5.36,0.0215,True
UVM,2.5,0.0312,True
LIHC,0.27,0.0769,True
ACC,1.27,0.0419,True
BLCA,0.25,0.0308,True
BLCA,5.26,0.0556,False
BRCA,0.73,0.0323,True
BRCA,1.77,0.1143,False
CESC,0.65,0.0280,True
COAD,0.7100000000000001,0.0714,True
ESCA,1.8499999999999999,0.0228,True
GBM,1.1900000000000002,0.0357,True
GBM,20.0,0.0714,False
HNSC,1.0,0.0303,True
KIRC,0.9299999999999999,0.0357,True
KIRP,3.1199999999999997,0.0667,False
LGG,0.19,0.0270,True
LIHC,1.6,0.0606,True
LUAD,1.3299999999999998,0.0323,True
LUAD,1.69,0.0769,False
LUSC,0.2,0.0303,True
LUSC,2.04,0.0347,False
OV,0.26,0.0189,True
PAAD,0.5599999999999999,0.0337,True
PCPG,0.5499999999999999,0.0588,True
PRAD,1.92,0.0491,False
READ,1.09,0.0417,True
SARC,0.38,0.0230,True
SKCM,0.8500000000000001,0.0312,True
STAD,1.0699999999999998,0.0230,True
THCA,0.98,0.0345,True
UCEC,2.19,0.0519,True
UCEC,2.86,0.0833,False
ACC,3.8,0.0667,True
BLCA,5.1499999999999995,0.0479,True
BLCA,10.530000000000001,0.0625,False
BRCA,4.35,0.0476,True
BRCA,0.88,0.0345,False
CESC,4.9,0.0476,True
CHOL,2.78,0.0513,True
COAD,2.86,0.0646,True
DLBC,4.17,0.0364,True
ESCA,4.9399999999999995,0.0295,True
GBM,3.5700000000000003,0.0459,True
HNSC,3.5999999999999996,0.0435,True
KICH,1.54,0.1000,True
KICH,4.17,0.0448,False
KIRC,4.49,0.0526,True
KIRC,2.78,0.0714,False
KIRP,3.11,0.0774,True
KIRP,3.1199999999999997,0.0833,False
LAML,1.9900000000000002,0.0591,True
LGG,2.65,0.0455,True
LIHC,5.35,0.0742,True
LUAD,4.36,0.0476,True
LUAD,6.78,0.0742,False
LUSC,4.61,0.0488,True
LUSC,4.08,0.0625,False
MESO,8.14,0.0526,True
OV,5.28,0.0280,True
PAAD,3.93,0.0556,True
PAAD,50.0,0.1677,False
PCPG,4.37,0.0611,True
PRAD,4.0,0.0556,True
PRAD,5.7700000000000005,0.0769,False
READ,3.26,0.0839,True
SARC,5.319999999999999,0.0417,True
SKCM,4.25,0.0500,True
STAD,3.47,0.0364,True
TGCT,0.64,0.0294,True
THCA,3.54,0.0526,True
THCA,1.72,0.0528,False
THYM,5.04,0.0312,True
UCEC,2.74,0.0500,True
UCS,3.5700000000000003,0.0278,True
UVM,3.75,0.0625,True
BLCA,0.98,0.0448,True
BRCA,0.54,0.0393,True
ESCA,1.23,0.0323,True
GBM,0.6,0.0312,True
HNSC,0.2,0.0344,True
KIRC,0.75,0.0667,True
KIRP,1.73,0.0667,True
KIRP,3.1199999999999997,0.0556,False
LIHC,0.8,0.0667,True
LIHC,4.0,0.0812,False
LUAD,0.38,0.0485,True
LUSC,0.2,0.0303,True
MESO,1.16,0.0500,True
OV,0.26,0.0133,True
PAAD,0.5599999999999999,0.0635,True
PCPG,0.5499999999999999,0.0526,True
PRAD,0.4,0.0455,True
PRAD,3.85,0.0526,False
SARC,0.38,0.0351,True
SKCM,0.42,0.0357,True
STAD,0.53,0.0178,True
THCA,0.38999999999999996,0.0385,True
UCEC,0.36,0.0667,True
ACC,7.59,0.0556,True
BLCA,18.14,0.0625,True
BLCA,26.32,0.0909,False
BRCA,22.85,0.0645,True
BRCA,16.81,0.0667,False
CESC,18.3,0.0551,True
CHOL,11.110000000000001,0.0909,True
COAD,8.21,0.0714,True
COAD,14.63,0.0812,False
DLBC,10.42,0.0364,True
ESCA,24.07,0.0345,True
ESCA,9.09,0.0262,False
GBM,15.479999999999999,0.0455,True
GBM,40.0,0.0765,False
HNSC,20.8,0.0635,True
HNSC,13.639999999999999,0.0628,False
KICH,1.54,0.1000,True
KICH,16.669999999999998,0.0625,False
KIRC,20.93,0.0588,True
KIRC,4.17,0.0544,False
KIRP,12.11,0.0667,True
KIRP,12.5,0.0526,False
LAML,7.28,0.0628,True
LGG,18.15,0.0588,True
LIHC,11.76,0.0742,True
LIHC,8.0,0.0955,False
LUAD,17.080000000000002,0.0667,True
LUAD,10.17,0.0909,False
LUSC,18.04,0.0588,True
LUSC,6.12,0.0417,False
MESO,23.26,0.0769,True
OV,27.18,0.0389,True
PAAD,15.73,0.0769,True
PAAD,25.0,0.1034,False
PCPG,20.22,0.0714,True
PRAD,14.2,0.0556,True
PRAD,17.31,0.0714,False
READ,14.13,0.0667,True
READ,20.0,0.0955,False
SARC,28.139999999999997,0.0625,True
SARC,50.0,0.0909,False
SKCM,19.32,0.0556,True
SKCM,100.0,0.1176,False
STAD,22.93,0.0448,True
STAD,18.75,0.0397,False
TGCT,21.15,0.0476,True
THCA,16.900000000000002,0.0645,True
THCA,3.45,0.0435,False
THYM,16.81,0.0357,True
UCEC,18.43,0.0625,True
UCEC,22.86,0.0667,False
UCS,26.790000000000003,0.0455,True
UVM,10.0,0.0625,True
ACC,10.13,0.0750,True
BLCA,24.26,0.0667,True
BLCA,21.05,0.0850,False
BRCA,28.65,0.0667,True
BRCA,17.7,0.0588,False
CESC,21.9,0.0572,True
CHOL,11.110000000000001,0.0909,True
COAD,13.930000000000001,0.0769,True
COAD,12.2,0.0833,False
DLBC,20.830000000000002,0.0588,True
ESCA,25.929999999999996,0.0357,True
ESCA,18.18,0.0358,False
GBM,17.86,0.0455,True
GBM,20.0,0.0421,False
HNSC,20.0,0.0588,True
HNSC,11.360000000000001,0.0667,False
KICH,6.15,0.0871,True
KICH,20.830000000000002,0.1000,False
KIRC,25.979999999999997,0.0625,True
KIRC,18.060000000000002,0.0667,False
KIRP,11.07,0.0683,True
KIRP,18.75,0.0680,False
LAML,10.6,0.0769,True
LGG,23.06,0.0588,True
LIHC,11.23,0.0801,True
LIHC,2.0,0.1250,False
LUAD,19.73,0.0667,True
LUAD,11.86,0.0667,False
LUSC,22.85,0.0625,True
LUSC,16.33,0.0544,False
MESO,31.4,0.0714,True
OV,29.29,0.0424,True
PAAD,15.17,0.0833,True
PCPG,24.04,0.0714,True
PRAD,23.0,0.0606,True
PRAD,32.690000000000005,0.0667,False
READ,16.3,0.0714,True
READ,10.0,0.0526,False
SARC,30.04,0.0588,True
SARC,50.0,0.1304,False
SKCM,20.59,0.0556,True
SKCM,100.0,0.1176,False
STAD,28.799999999999997,0.0455,True
STAD,21.88,0.0417,False
TGCT,23.72,0.0417,True
THCA,18.47,0.0625,True
THCA,6.9,0.0476,False
THYM,15.129999999999999,0.0396,True
UCEC,22.81,0.0667,True
UCEC,22.86,0.0526,False
UCS,26.790000000000003,0.0476,True
UVM,17.5,0.0755,True
ACC,26.58,0.0909,True
BLCA,47.55,0.0909,True
BLCA,36.84,0.0635,False
BRCA,57.84,0.1053,True
BRCA,39.82,0.0909,False
CESC,55.879999999999995,0.0870,True
CHOL,27.779999999999998,0.0909,True
COAD,30.0,0.0833,True
COAD,26.83,0.1000,False
DLBC,43.75,0.0667,True
ESCA,71.6,0.0833,True
ESCA,54.55,0.0728,False
GBM,57.14,0.0949,True
GBM,100.0,0.0625,False
HNSC,53.2,0.1000,True
HNSC,36.36,0.0728,False
KICH,12.31,0.0833,True
KICH,33.33,0.1270,False
KIRC,46.17,0.0895,True
KIRC,36.11,0.0852,False
KIRP,22.15,0.0909,True
KIRP,40.62,0.0769,False
LAML,25.169999999999998,0.0870,True
LGG,60.68,0.1053,True
LIHC,24.6,0.1000,True
LIHC,4.0,0.1294,False
LUAD,48.199999999999996,0.1000,True
LUAD,27.12,0.0909,False
LUSC,48.9,0.0909,True
LUSC,42.86,0.0833,False
MESO,47.67,0.1000,True
OV,76.25,0.1019,True
PAAD,32.019999999999996,0.1000,True
PAAD,25.0,0.1006,False
PCPG,47.54,0.1000,True
PCPG,33.33,0.1667,False
PRAD,48.0,0.0909,True
PRAD,50.0,0.0952,False
READ,28.26,0.1000,True
READ,10.0,0.0833,False
SARC,59.31999999999999,0.1053,True
SARC,50.0,0.1304,False
SKCM,52.87,0.0909,True
SKCM,100.0,0.1053,False
STAD,67.73,0.0922,True
STAD,53.12,0.0645,False
TGCT,54.49,0.0895,True
THCA,50.88,0.0952,True
THCA,31.03,0.0628,False
THYM,60.5,0.0822,True
THYM,50.0,0.1622,False
UCEC,43.8,0.1053,True
UCEC,60.0,0.1319,False
UCS,69.64,0.1290,True
UVM,37.5,0.1000,True
ACC,5.06,0.0667,True
BLCA,9.31,0.0556,True
BLCA,5.26,0.0528,False
BRCA,8.52,0.0435,True
BRCA,2.65,0.0323,False
CESC,9.15,0.0476,True
CHOL,11.110000000000001,0.0588,True
COAD,5.0,0.0625,True
COAD,7.32,0.0625,False
DLBC,2.08,0.0297,True
ESCA,8.02,0.0233,True
GBM,10.71,0.0556,True
HNSC,7.3999999999999995,0.0417,True
HNSC,6.819999999999999,0.0463,False
KICH,4.62,0.0769,True
KICH,4.17,0.0714,False
